inat_id,date,latitude,longitude,positional_accuracy,scientific_name
3660667,2016-07-11,44.0131628747,-96.3253366762,5,Rudbeckia hirta
3663045,2016-07-02,39.4915366667,-77.7508,NA,Rudbeckia hirta pulcherrima
3665799,2016-07-12,45.65292,-85.5138783333,NA,Rudbeckia hirta
3666075,2016-07-12,37.6801441424,-97.9472972174,5,Rudbeckia hirta
3667669,2016-07-12,37.6800948568,-97.9472859018,5,Rudbeckia hirta
3668163,2016-07-12,39.0877638333,-77.1267611667,NA,Rudbeckia hirta
3668613,2016-07-12,38.0270738246,-77.7743402667,89,Rudbeckia hirta
3672389,2016-07-12,44.762985,-72.1470033333,NA,Rudbeckia hirta
3673210,2016-07-11,42.2558298,-83.0482198,621,Rudbeckia hirta
3674800,2016-07-10,43.7916701613,-72.2585008108,5,Rudbeckia hirta
3674820,2016-07-12,37.6801633333,-97.9473333333,NA,Rudbeckia hirta
3680295,2016-07-14,46.4367354323,-63.2434510802,308,Rudbeckia hirta
3681350,2016-07-15,42.4806215242,-76.4505131264,5,Rudbeckia hirta
3682172,2016-07-15,45.1679266943,-92.7654057742,5,Rudbeckia hirta
3682266,2016-07-13,42.863517,-73.73318,24,Rudbeckia hirta
3683067,2016-06-28,40.6539451098,-89.1363380012,5,Rudbeckia hirta
3683081,2016-07-15,29.9284290884,-95.2285587788,15,Rudbeckia hirta
3683735,2016-07-15,45.1207850688,-85.6358500478,5,Rudbeckia hirta
3687883,2016-07-14,38.0134972167,-96.171495,NA,Rudbeckia hirta
3688083,2016-07-05,27.8325487671,-81.1449337006,274,Rudbeckia hirta pulcherrima
3689639,2016-07-15,42.991966,-89.0598530001,NA,Rudbeckia hirta
3691834,2016-07-16,43.84823932,-72.29697816,10,Rudbeckia hirta
3692064,2016-06-29,45.8691071435,-66.7396267151,8,Rudbeckia hirta
3692247,2016-07-16,34.2080502692,-96.6442752116,4,Rudbeckia hirta
3694293,2016-07-17,30.5725704073,-95.684030056,15,Rudbeckia hirta
3694505,2016-07-17,43.7195832588,-72.9016213418,8,Rudbeckia hirta
3694697,2016-07-17,43.0890416667,-89.4397888889,NA,Rudbeckia hirta
3695777,2016-07-16,34.190551,-96.667319,3,Rudbeckia hirta
3696298,2016-07-14,41.6359683825,-70.5611449667,5,Rudbeckia hirta
3698070,2016-07-16,42.910774,-88.484233,NA,Rudbeckia hirta
3698544,2016-07-18,44.328617,-72.170405,13048,Rudbeckia hirta
3698623,2016-07-17,36.998885419,-104.3682289124,400,Rudbeckia hirta
3702036,2016-07-18,45.393318,-75.512401,NA,Rudbeckia hirta
3703927,2016-07-19,45.1217197767,-85.6326197461,5,Rudbeckia hirta
3704637,2016-07-19,43.3747215271,-95.1533355713,NA,Rudbeckia hirta
3705079,2016-07-19,41.2197884499,-81.7176144105,5,Rudbeckia hirta pulcherrima
3706312,2016-07-19,42.652308,-80.563701,439,Rudbeckia hirta
3706513,2016-07-19,45.9189527998,-66.6666162014,45,Rudbeckia hirta
3706543,2016-07-19,44.7392,-73.13012,11533,Rudbeckia hirta
3706942,2016-07-19,41.31813625,-96.12866145,9,Rudbeckia hirta
3707832,2016-06-18,35.88593,-84.3097633333,NA,Rudbeckia hirta
3714054,2016-07-17,43.0364853333,-88.9215655833,NA,Rudbeckia hirta
3716568,2016-07-19,44.0371120583,-79.3868089914,15,Rudbeckia hirta
3717125,2016-07-21,45.0503891102,-84.7001863272,5,Rudbeckia hirta
3717576,2016-07-21,37.6402371768,-99.7468069562,1250942,Rudbeckia hirta
3725349,2016-07-22,41.4926170512,-75.19493429,10,Rudbeckia hirta
3727957,2016-07-22,44.736959,-91.864008,NA,Rudbeckia hirta
3730060,2016-07-12,39.9934486254,-82.4184440263,5,Rudbeckia hirta pulcherrima
3734556,2016-07-23,44.654551,-79.440036,NA,Rudbeckia hirta
3735482,2016-07-16,31.9113883972,-96.3974990845,NA,Rudbeckia hirta pulcherrima
3738504,2016-07-03,32.2991086878,-96.0254606968,NA,Rudbeckia hirta pulcherrima
3743089,2016-07-24,43.162828,-88.939208,NA,Rudbeckia hirta
3744808,2016-07-22,46.1458695,-60.1889383333,NA,Rudbeckia hirta
3745428,2016-07-25,43.6965225,-72.32479315,9,Rudbeckia hirta
3749584,2016-07-26,43.071301,-88.945405,NA,Rudbeckia hirta
3754660,2016-07-18,40.160636,-105.129464,NA,Rudbeckia hirta
3760820,2016-07-28,43.073018,-88.899423,12,Rudbeckia hirta
3774501,2016-07-30,34.6208116667,-87.8044416667,NA,Rudbeckia hirta
3775076,2016-07-30,38.8915883333,-76.794075,NA,Rudbeckia hirta
3777258,2016-07-30,42.704562,-73.666704,15,Rudbeckia hirta
3778689,2016-07-31,41.5800583333,-72.2069383333,NA,Rudbeckia hirta
3783793,2016-07-30,29.9562824114,-95.5240416527,15,Rudbeckia hirta
3783848,2016-07-28,30.8066021593,-86.9501942396,21,Rudbeckia hirta
3784437,2016-08-01,29.86143169,-95.6478427817,5,Rudbeckia hirta
3784901,2016-07-21,43.4149412396,-72.0044481484,584,Rudbeckia hirta
3786021,2016-08-01,43.6886216485,-72.792734652,4,Rudbeckia hirta
3786744,2016-08-01,47.3859333333,-91.2432283333,NA,Rudbeckia hirta
3788668,2016-08-02,41.222118,-73.70055704,9,Rudbeckia hirta
3789430,2016-08-02,44.52498982,-71.88304225,9,Rudbeckia hirta
3790510,2016-08-02,37.71148,-89.228316,6,Rudbeckia hirta
3794785,2016-08-02,37.7976675289,-78.4949549977,38,Rudbeckia hirta pulcherrima
3797117,2016-08-03,40.0572006684,-78.9069005103,5,Rudbeckia hirta
3802846,2016-08-03,43.1239625369,-88.9158725739,25,Rudbeckia hirta
3804292,2016-08-04,40.3127158201,-74.7459240352,5,Rudbeckia hirta
3809064,2016-07-28,43.6333299656,-92.2150853722,3187,Rudbeckia hirta
3809733,2016-08-05,44.8170098,-86.0403722,3299,Rudbeckia hirta
3809978,2016-08-05,41.2190404,-81.705794,50,Rudbeckia hirta
3812349,2016-07-29,33.8254283333,-84.3019416667,NA,Rudbeckia hirta
3812847,2016-08-06,29.9225673219,-95.6120520552,5,Rudbeckia hirta
3815931,2016-08-04,29.8995033333,-95.6014633333,NA,Rudbeckia hirta
3817752,2016-08-06,43.0153383333,-77.573205,NA,Rudbeckia hirta
3825410,2016-08-07,44.3236818011,-72.6874415267,65,Rudbeckia hirta
3826388,2016-08-07,44.3232282065,-72.6868109499,5,Rudbeckia hirta
3826488,2016-08-07,30.4836292031,-95.6989002228,61,Rudbeckia hirta
3832932,2016-08-06,43.6232067159,-70.2089956583,38,Rudbeckia hirta
