#
# Transition date estimate for shiningrock
#
# Site: shiningrock
# Veg Type: DB
# ROI ID Number: 3000
# Aggregation period: 3day
# Year min: 2009
# Year max: 2019
# Final Processing Date: 2019-09-16
# Final Processing Time: 16:30:52
# Spline RMSE gcc_mean: 0.00743
# Spline RMSE gcc_50: 0.00789
# Spline RMSE gcc_75: 0.00651
# Spline RMSE gcc_90: 0.00636
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
shiningrock,DB,3000,falling,gcc_50,2009-10-14,2009-10-08,2009-09-25,2009-10-15,2009-10-09,2009-09-29,2009-10-12,2009-10-06,2009-09-08,0.33469,0.36248,0.4133,0.3169,0.50791
shiningrock,DB,3000,falling,gcc_mean,2018-10-22,2018-10-15,2018-10-05,2018-10-24,2018-10-16,2018-10-07,2018-10-19,2018-10-14,2018-10-03,0.35207,0.37883,0.42395,0.33642,0.50989
shiningrock,DB,3000,falling,gcc_mean,2017-10-27,2017-10-19,2017-10-02,2017-10-28,2017-10-20,2017-10-05,2017-10-24,2017-10-16,2017-09-30,0.35024,0.37865,0.43002,0.33326,0.52429
shiningrock,DB,3000,falling,gcc_mean,2016-10-17,2016-10-12,2016-10-03,2016-10-18,2016-10-13,2016-10-06,2016-10-15,2016-10-10,2016-10-02,0.36397,0.38922,0.43126,0.35148,0.50567
shiningrock,DB,3000,falling,gcc_mean,2015-10-25,2015-10-17,2015-10-08,2015-10-28,2015-10-18,2015-10-10,2015-10-21,2015-10-15,2015-10-07,0.34769,0.36886,0.40639,0.33465,0.47446
shiningrock,DB,3000,falling,gcc_mean,2014-10-20,2014-10-13,2014-09-23,2014-10-24,2014-10-15,2014-09-27,2014-10-17,2014-10-10,2014-09-22,0.35215,0.37928,0.4268,0.33778,0.51115
shiningrock,DB,3000,falling,gcc_mean,2013-10-26,2013-10-20,2013-09-18,2013-10-27,2013-10-21,2013-10-06,2013-10-24,2013-10-18,2013-09-15,0.35705,0.38295,0.43155,0.34055,0.52231
shiningrock,DB,3000,falling,gcc_mean,2012-10-25,2012-10-18,2012-09-22,2012-10-26,2012-10-20,2012-09-25,2012-10-23,2012-10-16,2012-09-20,0.35406,0.38549,0.43605,0.33807,0.53073
shiningrock,DB,3000,falling,gcc_mean,2011-10-05,2011-09-30,2011-09-07,2011-10-08,2011-10-02,2011-09-09,2011-10-03,2011-09-17,2011-09-06,0.37725,0.39733,0.43418,0.36387,0.50174
shiningrock,DB,3000,falling,gcc_mean,2010-10-18,2010-10-10,2010-09-16,2010-10-20,2010-10-12,2010-09-19,2010-10-15,2010-10-08,2010-09-15,0.35197,0.38097,0.43089,0.33481,0.51962
shiningrock,DB,3000,falling,gcc_mean,2009-10-15,2009-10-08,2009-09-25,2009-10-16,2009-10-09,2009-09-28,2009-10-12,2009-10-06,2009-09-09,0.3322,0.36098,0.40994,0.31596,0.50359
