#
# Transition date estimate for harvard
#
# Site: harvard
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2008
# Year max: 2019
# Final Processing Date: 2019-07-31
# Final Processing Time: 11:09:05
# Spline RMSE gcc_mean: 0.00334
# Spline RMSE gcc_50: 0.00316
# Spline RMSE gcc_75: 0.00358
# Spline RMSE gcc_90: 0.00435
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvard,DB,1000,falling,gcc_90,2010-10-18,2010-10-14,2010-10-07,2010-10-19,2010-10-15,2010-10-10,2010-10-16,2010-10-12,2010-10-06,0.37701,0.39007,0.41407,0.37148,0.4525
harvard,DB,1000,falling,gcc_90,2009-10-22,2009-10-19,2009-10-12,2009-10-23,2009-10-20,2009-10-15,2009-10-20,2009-10-18,2009-10-10,0.37486,0.38999,0.41431,0.36782,0.4573
harvard,DB,1000,falling,gcc_90,2008-10-23,2008-10-21,2008-10-14,2008-10-24,2008-10-22,2008-10-16,2008-10-22,2008-10-19,2008-10-13,0.37171,0.38147,0.40806,0.36398,0.44956
harvard,DB,1000,falling,gcc_75,2018-11-03,2018-10-30,2018-10-20,2018-11-05,2018-11-01,2018-10-23,2018-11-01,2018-10-28,2018-10-17,0.39336,0.40433,0.42337,0.38635,0.45929
harvard,DB,1000,falling,gcc_75,2017-11-04,2017-11-01,2017-10-23,2017-11-05,2017-11-02,2017-10-25,2017-11-02,2017-10-30,2017-10-22,0.38227,0.39341,0.41924,0.3762,0.45912
harvard,DB,1000,falling,gcc_75,2016-10-27,2016-10-24,2016-10-15,2016-10-28,2016-10-25,2016-10-17,2016-10-25,2016-10-22,2016-10-14,0.38646,0.39643,0.42137,0.37866,0.4605
harvard,DB,1000,falling,gcc_75,2015-10-26,2015-10-23,2015-10-18,2015-10-27,2015-10-24,2015-10-20,2015-10-24,2015-10-22,2015-10-17,0.38265,0.39465,0.41709,0.37639,0.45524
harvard,DB,1000,falling,gcc_75,2014-10-21,2014-10-18,2014-10-11,2014-10-22,2014-10-19,2014-10-13,2014-10-20,2014-10-16,2014-10-10,0.38124,0.39333,0.41925,0.37292,0.4606
harvard,DB,1000,falling,gcc_75,2013-10-18,2013-10-14,2013-10-06,2013-10-19,2013-10-15,2013-10-08,2013-10-16,2013-10-12,2013-10-04,0.38154,0.3951,0.41654,0.37586,0.45613
harvard,DB,1000,falling,gcc_75,2012-10-17,2012-10-13,2012-10-05,2012-10-18,2012-10-14,2012-10-08,2012-10-15,2012-10-11,2012-10-03,0.38363,0.39612,0.41667,0.37795,0.45414
harvard,DB,1000,falling,gcc_75,2011-10-26,2011-10-21,2011-10-09,2011-10-28,2011-10-23,2011-10-12,2011-10-24,2011-10-18,2011-10-06,0.38859,0.39864,0.41818,0.38168,0.45345
harvard,DB,1000,falling,gcc_75,2010-10-17,2010-10-13,2010-10-06,2010-10-18,2010-10-15,2010-10-08,2010-10-15,2010-10-11,2010-10-04,0.37744,0.38931,0.40968,0.37032,0.44765
harvard,DB,1000,falling,gcc_75,2009-10-22,2009-10-19,2009-10-12,2009-10-23,2009-10-20,2009-10-15,2009-10-20,2009-10-18,2009-10-10,0.37302,0.38729,0.40993,0.3663,0.45127
harvard,DB,1000,falling,gcc_75,2008-10-23,2008-10-21,2008-10-13,2008-10-24,2008-10-22,2008-10-16,2008-10-22,2008-10-19,2008-10-12,0.36834,0.37759,0.40518,0.36091,0.4442
harvard,DB,1000,falling,gcc_50,2018-11-03,2018-10-31,2018-10-23,2018-11-04,2018-11-01,2018-10-25,2018-11-01,2018-10-29,2018-10-21,0.379,0.39028,0.41462,0.37337,0.45577
harvard,DB,1000,falling,gcc_50,2017-11-04,2017-10-31,2017-10-23,2017-11-05,2017-11-01,2017-10-25,2017-11-02,2017-10-29,2017-10-22,0.3791,0.39318,0.41567,0.37336,0.45559
harvard,DB,1000,falling,gcc_50,2016-10-27,2016-10-24,2016-10-15,2016-10-28,2016-10-25,2016-10-17,2016-10-25,2016-10-21,2016-10-14,0.38133,0.39126,0.41551,0.37362,0.45623
harvard,DB,1000,falling,gcc_50,2015-10-25,2015-10-23,2015-10-18,2015-10-26,2015-10-24,2015-10-19,2015-10-24,2015-10-21,2015-10-17,0.37683,0.38593,0.41054,0.36885,0.45155
harvard,DB,1000,falling,gcc_50,2014-10-20,2014-10-17,2014-10-10,2014-10-21,2014-10-18,2014-10-12,2014-10-19,2014-10-15,2014-10-09,0.38022,0.39184,0.41511,0.37242,0.45609
harvard,DB,1000,falling,gcc_50,2013-10-18,2013-10-14,2013-10-06,2013-10-19,2013-10-15,2013-10-08,2013-10-16,2013-10-12,2013-10-03,0.37891,0.39191,0.41258,0.37341,0.45167
harvard,DB,1000,falling,gcc_50,2012-10-16,2012-10-12,2012-10-03,2012-10-17,2012-10-13,2012-10-06,2012-10-14,2012-10-10,2012-10-01,0.37954,0.39161,0.41304,0.37472,0.44929
harvard,DB,1000,falling,gcc_50,2011-10-26,2011-10-21,2011-10-09,2011-10-28,2011-10-22,2011-10-12,2011-10-24,2011-10-18,2011-10-06,0.3842,0.39397,0.41335,0.37789,0.4478
